date,region,orders,revenue
2025-09-01,North,36,1460.95
2025-09-01,South,22,891.52
2025-09-02,North,38,1409.04
2025-09-02,South,24,935.51
2025-09-03,North,39,1477.57
2025-09-03,South,27,1162.62
2025-09-04,North,40,1651.28
2025-09-04,South,25,1086.59
2025-09-05,North,47,1929.79
2025-09-05,South,33,1247.61
2025-09-06,North,54,2147.85
2025-09-06,South,35,1415.84
2025-09-07,North,43,1609.7
2025-09-07,South,29,1269.14
2025-09-08,North,39,1538.28
2025-09-08,South,24,988.22
2025-09-09,North,37,1442.33
2025-09-09,South,25,1008.29
2025-09-10,North,39,1597.26
2025-09-10,South,27,1071.57
2025-09-11,North,44,1909.01
2025-09-11,South,28,1097.27
2025-09-12,North,50,2016.27
2025-09-12,South,32,1269.8
2025-09-13,North,58,2252.2
2025-09-13,South,35,1371.09
2025-09-14,North,41,1568.01
2025-09-14,South,29,1192.4
2025-09-15,North,37,1476.89
2025-09-15,South,27,1063.87
2025-09-16,North,41,1629.13
2025-09-16,South,29,1140.81
2025-09-17,North,38,1454.36
2025-09-17,South,30,1145.9
2025-09-18,North,42,1687.33
2025-09-18,South,30,1197.77
2025-09-19,North,44,1684.04
2025-09-19,South,32,1237.08
2025-09-20,North,54,2250.08
2025-09-20,South,43,1708.34
2025-09-21,North,39,1622.17
2025-09-21,South,29,1205.32
2025-09-22,North,37,1540.2
2025-09-22,South,25,1013.72
2025-09-23,North,37,1453.69
2025-09-23,South,26,1059.68
2025-09-24,North,43,1753.19
2025-09-24,South,28,1134.96
2025-09-25,North,45,1791.09
2025-09-25,South,29,1162.57
2025-09-26,North,50,1970.84
2025-09-26,South,34,1353.51
2025-09-27,North,51,2014.06
2025-09-27,South,37,1462.92
2025-09-28,North,43,1636.17
2025-09-28,South,29,1193.02
2025-09-29,North,38,1437.7
2025-09-29,South,29,1112.84
2025-09-30,North,40,1647.66
2025-09-30,South,27,1134.3
2025-10-01,North,39,1548.81
2025-10-01,South,28,1121.43
2025-10-02,North,44,1774.28
2025-10-02,South,31,1205.19
2025-10-03,North,49,2033.63
2025-10-03,South,36,1413.59
2025-10-04,North,58,2169.22
2025-10-04,South,38,1481.41
2025-10-05,North,48,1863.54
2025-10-05,South,30,1207.21
2025-10-06,North,37,1489.73
2025-10-06,South,27,1050.93
2025-10-07,North,41,1664.11
2025-10-07,South,28,1167.97
2025-10-08,North,46,1813.98
2025-10-08,South,29,1126.0
2025-10-09,North,44,1827.93
2025-10-09,South,33,1207.51
2025-10-10,North,52,2096.41
2025-10-10,South,34,1322.72
2025-10-11,North,62,2367.16
2025-10-11,South,42,1553.46
2025-10-12,North,46,1775.78
2025-10-12,South,30,1198.21
2025-10-13,North,36,1483.5
2025-10-13,South,28,1164.48
2025-10-14,North,42,1709.22
2025-10-14,South,24,983.32
2025-10-15,North,48,1783.27
2025-10-15,South,28,1063.82
2025-10-16,North,42,1764.91
2025-10-16,South,30,1165.7
2025-10-17,North,56,2290.23
2025-10-17,South,37,1578.71
2025-10-18,North,63,2646.95
2025-10-18,South,44,1781.02
2025-10-19,North,45,1774.1
2025-10-19,South,34,1360.21
2025-10-20,North,45,1780.04
2025-10-20,South,24,998.02
2025-10-21,North,44,1685.65
2025-10-21,South,29,1266.69
2025-10-22,North,42,1839.83
2025-10-22,South,29,1216.4
2025-10-23,North,47,1867.63
2025-10-23,South,30,1206.27
2025-10-24,North,56,2373.35
2025-10-24,South,38,1540.22
2025-10-25,North,63,2458.83
2025-10-25,South,40,1637.02
2025-10-26,North,50,2012.29
2025-10-26,South,28,1094.27
2025-10-27,North,40,1499.72
2025-10-27,South,26,998.71
2025-10-28,North,45,1774.16
2025-10-28,South,26,1042.05
2025-10-29,North,50,2073.78
2025-10-29,South,29,1118.8
2025-10-30,North,46,1753.63
2025-10-30,South,33,1316.96
2025-10-31,North,56,2330.07
2025-10-31,South,38,1525.48
2025-11-01,North,63,2551.87
2025-11-01,South,48,2088.55
2025-11-02,North,49,1883.27
2025-11-02,South,32,1239.15
2025-11-03,North,38,1491.41
2025-11-03,South,25,995.43
2025-11-04,North,42,1651.08
2025-11-04,South,28,1113.1
2025-11-05,North,46,1836.58
2025-11-05,South,29,1179.02
2025-11-06,North,52,2038.18
2025-11-06,South,30,1247.1
2025-11-07,North,60,2325.54
2025-11-07,South,39,1531.31
2025-11-08,North,61,2412.13
2025-11-08,South,43,1667.02
2025-11-09,North,47,1807.6
2025-11-09,South,29,1088.63
2025-11-10,North,44,1674.89
2025-11-10,South,29,1119.71
2025-11-11,North,39,1557.18
2025-11-11,South,30,1224.14
2025-11-12,North,46,1900.92
2025-11-12,South,32,1282.19
2025-11-13,North,50,1885.3
2025-11-13,South,33,1269.74
2025-11-14,North,62,2480.33
2025-11-14,South,40,1577.63
2025-11-15,North,70,2731.75
2025-11-15,South,45,1802.12
2025-11-16,North,49,1888.18
2025-11-16,South,36,1467.2
2025-11-17,North,42,1733.77
2025-11-17,South,29,1134.19
2025-11-18,North,45,1765.02
2025-11-18,South,31,1228.35
2025-11-19,North,52,2196.87
2025-11-19,South,33,1229.99
2025-11-20,North,49,1902.68
2025-11-20,South,31,1186.46
2025-11-21,North,57,2313.05
2025-11-21,South,39,1654.64
2025-11-22,North,70,2776.14
2025-11-22,South,45,1652.3
2025-11-23,North,51,1982.32
2025-11-23,South,34,1342.77
2025-11-24,North,43,1757.91
2025-11-24,South,27,1088.88
2025-11-25,North,43,1710.0
2025-11-25,South,34,1340.91
2025-11-26,North,49,2004.34
2025-11-26,South,33,1280.0
2025-11-27,North,50,1996.45
2025-11-27,South,32,1277.07
2025-11-28,North,63,2417.39
2025-11-28,South,36,1439.73
2025-11-29,North,73,2908.82
2025-11-29,South,46,1834.33
2025-11-30,North,52,2084.05
2025-11-30,South,34,1264.24
2025-12-01,North,46,1906.13
2025-12-01,South,28,1113.81
2025-12-02,North,46,1777.47
2025-12-02,South,31,1200.24
2025-12-03,North,53,2116.87
2025-12-03,South,32,1253.71
2025-12-04,North,52,1945.69
2025-12-04,South,36,1452.26
2025-12-05,North,62,2540.59
2025-12-05,South,38,1556.52
2025-12-06,North,65,2494.56
2025-12-06,South,47,1943.22
2025-12-07,North,54,2013.68
2025-12-07,South,37,1452.45
2025-12-08,North,40,1596.45
2025-12-08,South,34,1407.12
2025-12-09,North,42,1749.66
2025-12-09,South,30,1252.82
2025-12-10,North,49,1847.95
2025-12-10,South,33,1376.26
2025-12-11,North,50,1918.4
2025-12-11,South,34,1430.88
2025-12-12,North,62,2410.88
2025-12-12,South,43,1710.6
2025-12-13,North,82,3141.07
2025-12-13,South,45,1788.25
2025-12-14,North,51,2069.03
2025-12-14,South,35,1443.32
2025-12-15,North,44,1706.71
2025-12-15,South,30,1138.51
2025-12-16,North,49,1906.97
2025-12-16,South,30,1209.42
2025-12-17,North,53,2166.37
2025-12-17,South,32,1254.53
2025-12-18,North,53,2059.94
2025-12-18,South,35,1380.64
2025-12-19,North,61,2479.6
2025-12-19,South,36,1345.96
2025-12-20,North,76,2929.26
2025-12-20,South,44,1701.22
2025-12-21,North,56,2138.18
2025-12-21,South,35,1398.92
2025-12-22,North,43,1601.61
2025-12-22,South,31,1281.31
2025-12-23,North,49,2096.8
2025-12-23,South,32,1327.52
2025-12-24,North,52,2055.02
2025-12-24,South,31,1236.26
2025-12-25,North,51,2058.66
2025-12-25,South,35,1390.06
2025-12-26,North,64,2557.02
2025-12-26,South,44,1705.18
2025-12-27,North,70,2816.8
2025-12-27,South,51,2070.78
2025-12-28,North,58,2324.32
2025-12-28,South,36,1426.63
2025-12-29,North,47,2014.53
2025-12-29,South,29,1186.36
2025-12-30,North,50,1922.08
2025-12-30,South,34,1449.34
2025-12-31,North,50,1883.19
2025-12-31,South,34,1358.35
2026-01-01,North,55,2116.51
2026-01-01,South,34,1283.63
2026-01-02,North,56,2127.88
